sex,race,age,county,total
female,black,18-34,01015,3857
female,black,35-64,01015,4615
female,black,65-74,01015,1225
female,black,75+,01015,508
female,other,0-17,01015,1300
female,other,18-34,01015,928
female,other,35-64,01015,1493
female,other,65-74,01015,274
female,other,75+,01015,312
female,white,0-17,01015,7620
female,white,18-34,01015,9048
female,white,35-64,01015,15962
female,white,65-74,01015,5516
female,white,75+,01015,4164
male,black,0-17,01015,3191
male,black,18-34,01015,3676
male,black,35-64,01015,3974
male,black,65-74,01015,909
male,black,75+,01015,392
male,other,0-17,01015,1346
male,other,18-34,01015,1081
male,other,35-64,01015,1210
male,other,65-74,01015,181
male,other,75+,01015,36
male,white,0-17,01015,8204
male,white,18-34,01015,8733
male,white,35-64,01015,15796
male,white,65-74,01015,4716
male,white,75+,01015,2706
female,black,0-17,01017,1716
female,black,18-34,01017,1625
female,black,35-64,01017,2839
female,black,65-74,01017,787
female,black,75+,01017,542
female,other,0-17,01017,304
female,other,18-34,01017,228
female,other,35-64,01017,312
female,other,65-74,01017,42
female,other,75+,01017,70
female,white,0-17,01017,1783
female,white,18-34,01017,1801
female,white,35-64,01017,3776
female,white,65-74,01017,1376
female,white,75+,01017,1169
male,black,0-17,01017,1474
male,black,18-34,01017,1447
male,black,35-64,01017,2401
male,black,65-74,01017,611
male,black,75+,01017,255
male,other,0-17,01017,62
male,other,18-34,01017,302
male,other,35-64,01017,315
male,other,65-74,01017,25
male,other,75+,01017,4
male,white,0-17,01017,1802
male,white,18-34,01017,1853
male,white,35-64,01017,3526
male,white,65-74,01017,1196
male,white,75+,01017,807
female,black,0-17,01019,14
female,black,18-34,01019,100
female,black,35-64,01019,203
female,black,65-74,01019,51
female,black,75+,01019,84
female,other,0-17,01019,406
female,other,18-34,01019,143
female,other,35-64,01019,260
female,other,65-74,01019,21
female,other,75+,01019,13
female,white,0-17,01019,1988
female,white,18-34,01019,1971
female,white,35-64,01019,4593
female,white,65-74,01019,1720
female,white,75+,01019,1234
male,black,0-17,01019,49
male,black,18-34,01019,58
male,black,35-64,01019,263
male,black,65-74,01019,113
male,black,75+,01019,13
male,other,0-17,01019,117
male,other,18-34,01019,89
male,other,35-64,01019,139
male,other,65-74,01019,69
male,other,75+,01019,2
male,white,0-17,01019,2173
male,white,18-34,01019,2073
male,white,35-64,01019,4582
male,white,65-74,01019,1676
male,white,75+,01019,1007
female,black,0-17,01021,521
female,black,18-34,01021,453
female,black,35-64,01021,824
female,black,65-74,01021,186
female,black,75+,01021,166
female,other,0-17,01021,911
female,other,18-34,01021,693
female,other,35-64,01021,570
female,other,65-74,01021,62
female,other,75+,01021,143
female,white,0-17,01021,4145
female,white,18-34,01021,3674
female,white,35-64,01021,7189
female,white,65-74,01021,2159
female,white,75+,01021,1559
male,black,0-17,01021,407
male,black,18-34,01021,471
male,black,35-64,01021,937
male,black,65-74,01021,185
male,black,75+,01021,25
male,other,0-17,01021,608
male,other,18-34,01021,704
male,other,35-64,01021,752
male,other,65-74,01021,25
male,other,75+,01021,42
male,white,0-17,01021,4374
male,white,18-34,01021,3416
male,white,35-64,01021,7165
male,white,65-74,01021,1921
male,white,75+,01021,1213
female,black,0-17,01023,514
female,black,18-34,01023,484
female,black,35-64,01023,969
female,black,65-74,01023,360
female,black,75+,01023,254
female,other,0-17,01023,61
female,other,18-34,01023,41
female,other,35-64,01023,236
female,other,65-74,01023,90
female,other,75+,01023,9
female,white,0-17,01023,685
female,white,18-34,01023,584
female,white,35-64,01023,1385
female,white,65-74,01023,492
female,white,75+,01023,489
male,black,0-17,01023,460
male,black,18-34,01023,537
male,black,35-64,01023,726
male,black,65-74,01023,309
male,black,75+,01023,169
male,other,0-17,01023,91
male,other,18-34,01023,24
male,other,35-64,01023,88
male,other,65-74,01023,0
male,other,75+,01023,2
male,white,0-17,01023,681
male,white,18-34,01023,625
male,white,35-64,01023,1352
male,white,65-74,01023,426
male,white,75+,01023,382
female,black,0-17,01025,1209
female,black,18-34,01025,1217
female,black,35-64,01025,2199
female,black,65-74,01025,538
female,black,75+,01025,432
female,other,0-17,01025,134
female,other,18-34,01025,31
female,other,35-64,01025,126
female,other,65-74,01025,24
female,other,75+,01025,15
female,white,0-17,01025,1136
female,white,18-34,01025,1101
female,white,35-64,01025,2225
female,white,65-74,01025,803
female,white,75+,01025,823
male,black,0-17,01025,1229
male,black,18-34,01025,1040
male,black,35-64,01025,1862
male,black,65-74,01025,543
male,black,75+,01025,91
male,other,0-17,01025,212
male,other,18-34,01025,21
male,other,35-64,01025,73
male,other,65-74,01025,57
male,other,75+,01025,0
male,white,0-17,01025,1030
male,white,18-34,01025,1031
male,white,35-64,01025,2224
male,white,65-74,01025,750
male,white,75+,01025,626
female,black,0-17,01027,153
female,black,18-34,01027,224
female,black,35-64,01027,406
female,black,65-74,01027,133
female,black,75+,01027,84
female,other,0-17,01027,309
female,other,18-34,01027,57
female,other,35-64,01027,95
female,other,65-74,01027,14
female,other,75+,01027,13
female,white,0-17,01027,1105
female,white,18-34,01027,1071
female,white,35-64,01027,2287
female,white,65-74,01027,737
female,white,75+,01027,665
male,black,0-17,01027,163
male,black,18-34,01027,151
male,black,35-64,01027,426
male,black,65-74,01027,44
male,black,75+,01027,56
male,other,0-17,01027,102
male,other,18-34,01027,142
male,other,35-64,01027,179
male,other,65-74,01027,13
male,other,75+,01027,0
male,white,0-17,01027,1100
male,white,18-34,01027,1069
male,white,35-64,01027,2239
male,white,65-74,01027,692
male,white,75+,01027,459
female,black,0-17,01029,0
female,black,18-34,01029,152
female,black,35-64,01029,28
female,black,65-74,01029,15
female,black,75+,01029,37
female,other,0-17,01029,85
female,other,18-34,01029,42
female,other,35-64,01029,75
female,other,65-74,01029,23
female,other,75+,01029,5
female,white,0-17,01029,1551
female,white,18-34,01029,1272
female,white,35-64,01029,2751
female,white,65-74,01029,875
female,white,75+,01029,691
male,black,0-17,01029,0
male,black,18-34,01029,108
male,black,35-64,01029,70
male,black,65-74,01029,123
male,black,75+,01029,65
male,other,0-17,01029,58
male,other,18-34,01029,138
male,other,35-64,01029,67
